Date,Open,High,Low,Close,Volume,Adj Close
2014/1/7,186.39,190.35,186.38,189.71,5932300,188.68
2014/1/6,187.15,187.36,185.3,186,4067800,184.99
2014/1/3,185.83,187.35,185.3,186.64,4063200,185.62
2014/1/2,187.21,187.4,185.2,185.53,4546500,184.52
2013/12/31,186.49,187.79,186.3,187.57,3619700,186.55
2013/12/30,185.32,186.7,184.67,186.41,3018600,185.39
2013/12/27,185.84,186.5,184.56,185.08,3381600,184.07
2013/12/26,183.56,185.56,183.51,185.35,3325700,184.34
2013/12/24,181.96,183.5,181.91,183.22,1613600,182.22
2013/12/23,181.05,182.93,180.61,182.23,4079900,181.24
2013/12/20,180.12,182,180.02,180.02,7653500,179.04
2013/12/19,177.88,180.54,177.88,180.22,5927000,179.24
2013/12/18,176.45,178.74,174.85,178.7,5697700,177.73
2013/12/17,177.36,177.49,175.12,175.76,5471900,174.8
2013/12/16,173.22,178.35,172.73,177.85,7517000,176.88
2013/12/13,173.52,174.38,172.73,172.8,4184400,171.86
2013/12/12,175.06,175.8,173.3,173.37,5671600,172.42
2013/12/11,177,177.76,175.1,175.2,4090400,174.24
2013/12/10,176.9,177.67,176.06,177.12,4127800,176.15
2013/12/9,177.99,178.15,176.83,177.46,3796600,176.49
2013/12/6,176.7,178,176.01,177.67,4739800,176.7
2013/12/5,176.15,176.86,175.28,176.08,4384900,175.12
2013/12/4,175.37,177.5,175.16,175.74,5267400,174.78
2013/12/3,177,178.23,175.64,176.08,5864000,175.12
2013/12/2,179.46,179.59,177.12,177.48,4560000,176.51
2013/11/29,179.21,180.76,179,179.68,2870500,178.7
2013/11/27,177.83,180.18,177.82,178.97,4596500,177.99
2013/11/26,178.67,178.94,177.31,177.31,5756000,176.34
2013/11/25,180.25,180.75,177.82,178.94,7161900,177.96
2013/11/22,183.5,184.99,179.92,181.3,7610200,180.31
2013/11/21,185.54,185.75,183.41,184.13,4459500,183.13
2013/11/20,185.22,186.24,184.65,185.19,3645800,184.18
2013/11/19,184.63,186.2,184.15,185.25,4577000,184.24
2013/11/18,183.52,184.99,183.27,184.47,5344900,183.46
2013/11/15,182.38,183.28,181.16,183.19,5176100,182.19
2013/11/14,180.48,183.2,179.66,182.21,6321500,181.22
2013/11/13,182.27,183.55,181.59,183.55,4704400,182.55
2013/11/12,182.53,184.05,182.26,183.07,4258500,182.07
2013/11/11,180.19,183.39,180.04,182.88,5222300,181.88
2013/11/8,178.83,180.08,177.35,179.99,6275000,179.01
2013/11/7,179.6,181.39,179.6,180,5219500,179.02
2013/11/6,177.91,179.75,177.78,179.19,4560700,178.21
2013/11/5,179.54,179.8,177.71,177.85,6096800,175.94
2013/11/4,179.9,180.8,179.34,180.27,3483300,178.33
2013/11/1,179.81,180.34,178.88,179.23,3644500,177.3
2013/10/31,179.65,181.67,179.04,179.21,4318100,177.28
2013/10/30,181.69,182.18,179.86,180.15,5273700,178.21
2013/10/29,177.62,182.32,177.5,182.12,8904600,180.16
2013/10/28,177.04,177.89,176.2,177.35,3712700,175.44
2013/10/25,178.43,179.1,176.26,176.85,4842800,174.95
2013/10/24,176.43,177.89,176.25,177.8,5533300,175.89
2013/10/23,175.09,175.99,174.4,175.77,5409400,173.88
2013/10/22,173.35,175.57,172.95,174.97,6977300,173.09
2013/10/21,174.42,174.75,172.63,172.86,7098700,171
2013/10/18,174.8,175,173.25,173.78,10548000,171.91
2013/10/17,173.84,177,172.57,174.83,22368900,172.95
2013/10/16,185.42,186.73,184.99,186.73,6718000,184.72
2013/10/15,185.74,185.94,184.22,184.66,3365100,182.67
